                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8428,                 7.2725,                  2.409,                      0,                      0,                      0,                      0,                 2.6557,                 8.2921,                 2.3142,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                 2.7776,                 6.6012,                 2.2019,                0.40941,                0.08602,                0.03439,                  0.011,                 2.4577,                 8.1657,                 1.8565,             0.00018379,             0.00018379,             0.00018379
                      3,                 2.2257,                 2.9122,                 1.6227,                0.83331,                0.19355,                0.16635,                0.06742,                 2.3133,                 5.7271,                 1.7069,             0.00027612,             0.00027612,             0.00027612
                      4,                 2.0983,                 2.4669,                  1.502,                0.54883,                0.15054,                0.18687,                0.08284,                 2.0282,                 2.7893,                 1.5522,             0.00036448,             0.00036448,             0.00036448
                      5,                  2.028,                 2.3899,                 1.4811,                0.04495,                0.19355,                 0.0426,                0.02024,                 1.8383,                 13.259,                 1.4999,             0.00044889,             0.00044889,             0.00044889
                      6,                 1.9695,                  2.187,                 1.4082,                0.55804,                0.17204,                0.17503,                 0.1003,                 1.8048,                 15.079,                   1.47,             0.00052934,             0.00052934,             0.00052934
                      7,                 1.8652,                 2.1156,                 1.3552,                0.16269,                0.24803,                0.19379,                 0.0849,                 1.9681,                 3.7555,                 1.6097,             0.00060583,             0.00060583,             0.00060583
                      8,                 1.8476,                 2.0404,                 1.4039,                0.36645,                0.45735,                0.38554,                0.18285,                 2.0181,                 2.9327,                 1.6598,             0.00067835,             0.00067835,             0.00067835
                      9,                 1.8331,                 1.8922,                 1.3853,                 0.4179,                0.43584,                0.41275,                0.17714,                 1.9581,                 3.1889,                 1.6699,             0.00074692,             0.00074692,             0.00074692
                     10,                 1.7732,                  1.763,                 1.3494,                0.57048,                0.24731,                0.42297,                 0.1973,                 1.9038,                  2.215,                 1.5897,             0.00081153,             0.00081153,             0.00081153
